evening,evening
evening,great evening
evening,hey good evening
evening,hey spawn good evening
greet,how are you
greet,hey how are you
greet,how are you doing
greet,are you doing ok
spawn_name,what is your name
spawn_name,your name
spawn_name,can you tell me your name
spawn_name,tell me your name
bot_skills,what can you do
bot_skills,what skills do you have
bot_skills,what things you can do
bot_skills,how can you help me
bot_skills,what are your skills
bot_skills,things you do
bot_hi,hey hi
bot_hi,hello
bot_hi,hello spawn
bot_hi,heya
bot_hi,heya spawn
bot_hi,hey spawn
morning,hey spawn good morning
morning,good morning
morning,morning
morning,good morning spawn
morning,great morning
morning,hey good morning
afternoon,hey spawn good afternoon
afernoon,good afternoon
afternoon,good afternoon spawn
afternoon,great afternoon
afternoon,hey good afternoon
bot_love,i like you
bot_love,i love you
bot_love,love you
bot_love,hey spawn i love you
bot_greet_reply,i am doing great
bot_greet_reply,great
bot_greet_reply,good
bot_greet_reply,i am good
bot_greet_reply,i am doing fine
bot_greet_reply,i am fantastic
bot_greet_reply,great good
bot_bye,bye bye
bot_bye,bye-bye
bot_bye,goodbye
bot_bye,good bye
bot_bye,see you later
bot_bye,talk to you later
bot_bye,catch you later
bot_shutup,shut up
bot_shutup,can you please shut up
bot_shutup,shut the fuck up
bot_shutup,keep quiet
bot_shutup,shut your mouth
bot_quotes,send me a quote
bot_quotes,tell me a quote
bot_quotes,motivational quote
bot_quotes,suggest me a quote
bot_quotes,quotes please
